C,ID,EQUIPO_ENCENDIDO,HOROMETRO,NIVEL_COMBUSTIBLE,T6,T7,T8,T9,T10,GPS_TIEMPO,LATITUD,HEMISFERIO,LONGITUD,MERIDIANO,ALTITUD,ALT_MEDIDA,VELOCIDAD,FECHA_HORA_SIS\r\n
D,LB44,True,3694.5,0,0,0,0,0,0,0,021605,1632.7585,S,07136.5810,W,2818.4,M,000.0,2020/12/09 12:59:01
D,LB44,True,3694.5,0,0,0,0,0,0,0,021606,1632.7585,S,07136.5810,W,2818.4,M,000.0,2020/12/09 12:59:02
D,LB44,True,3694.5,0,0,0,0,0,0,0,021607,1632.7585,S,07136.5810,W,2818.4,M,000.0,2020/12/09 12:59:03
D,LB44,True,3694.5,0,0,0,0,0,0,0,021608,1632.7585,S,07136.5810,W,2818.4,M,000.0,2020/12/09 12:59:04
D,LB44,True,3694.5,0,0,0,0,0,0,0,021609,1632.7585,S,07136.5810,W,2818.4,M,000.0,2020/12/09 12:59:05
D,LB44,True,3694.5,0,0,0,0,0,0,0,021610,1632.7585,S,07136.5810,W,2818.4,M,000.0,2020/12/09 12:59:06
D,LB44,True,3694.5,0,0,0,0,0,0,0,021611,1632.7585,S,07136.5810,W,2818.4,M,000.0,2020/12/09 12:59:07
D,LB44,True,3694.5,0,0,0,0,0,0,0,021612,1632.7585,S,07136.5810,W,2818.4,M,000.0,2020/12/09 12:59:08
D,LB44,True,3694.5,0,0,0,0,0,0,0,021613,1632.7585,S,07136.5810,W,2818.4,M,000.0,2020/12/09 12:59:09
D,LB44,True,3694.5,0,0,0,0,0,0,0,021614,1632.7585,S,07136.5810,W,2818.4,M,000.0,2020/12/09 12:59:10
D,LB44,True,3694.5,0,0,0,0,0,0,0,021615,1632.7585,S,07136.5811,W,2818.4,M,000.0,2020/12/09 12:59:11
D,LB44,True,3694.5,0,0,0,0,0,0,0,021616,1632.7585,S,07136.5811,W,2818.4,M,000.0,2020/12/09 12:59:13
D,LB44,True,3694.5,0,0,0,0,0,0,0,021617,1632.7585,S,07136.5811,W,2818.4,M,000.0,2020/12/09 12:59:14
D,LB44,True,3694.5,0,0,0,0,0,0,0,021619,1632.7585,S,07136.5811,W,2818.4,M,000.0,2020/12/09 12:59:15
D,LB44,True,3694.5,0,0,0,0,0,0,0,021620,1632.7585,S,07136.5811,W,2818.4,M,000.0,2020/12/09 12:59:16
D,LB44,True,3694.5,0,0,0,0,0,0,0,021621,1632.7585,S,07136.5811,W,2818.4,M,000.0,2020/12/09 12:59:17
D,LB44,True,3694.5,0,0,0,0,0,0,0,021622,1632.7585,S,07136.5811,W,2818.4,M,000.0,2020/12/09 12:59:18
D,LB44,True,3694.5,0,0,0,0,0,0,0,021623,1632.7585,S,07136.5811,W,2818.4,M,000.0,2020/12/09 12:59:19
D,LB44,True,3694.5,0,0,0,0,0,0,0,021624,1632.7585,S,07136.5811,W,2818.4,M,000.0,2020/12/09 12:59:20
D,LB44,True,3694.5,0,0,0,0,0,0,0,021625,1632.7585,S,07136.5811,W,2818.4,M,000.0,2020/12/09 12:59:21
D,LB44,True,3694.5,0,0,0,0,0,0,0,021626,1632.7585,S,07136.5811,W,2818.4,M,000.0,2020/12/09 12:59:22
D,LB44,True,3694.5,0,0,0,0,0,0,0,021627,1632.7585,S,07136.5811,W,2818.4,M,000.0,2020/12/09 12:59:23
D,LB44,True,3694.5,0,0,0,0,0,0,0,021628,1632.7585,S,07136.5811,W,2818.4,M,000.0,2020/12/09 12:59:24
D,LB44,True,3694.5,0,0,0,0,0,0,0,021629,1632.7585,S,07136.5811,W,2818.4,M,000.0,2020/12/09 12:59:25
D,LB44,True,3694.5,0,0,0,0,0,0,0,021630,1632.7585,S,07136.5811,W,2818.4,M,000.0,2020/12/09 12:59:26
D,LB44,True,3694.5,0,0,0,0,0,0,0,021631,1632.7585,S,07136.5811,W,2818.4,M,000.0,2020/12/09 12:59:28
D,LB44,True,3694.5,0,0,0,0,0,0,0,021632,1632.7585,S,07136.5811,W,2818.4,M,000.0,2020/12/09 12:59:29
D,LB44,True,3694.5,0,0,0,0,0,0,0,021634,1632.7585,S,07136.5811,W,2818.4,M,000.0,2020/12/09 12:59:30
D,LB44,True,3694.5,0,0,0,0,0,0,0,021635,1632.7585,S,07136.5811,W,2818.4,M,000.0,2020/12/09 12:59:31
D,LB44,True,3694.5,0,0,0,0,0,0,0,021636,1632.7585,S,07136.5811,W,2818.4,M,000.0,2020/12/09 12:59:32
D,LB44,True,3694.5,0,0,0,0,0,0,0,021637,1632.7585,S,07136.5811,W,2818.4,M,000.0,2020/12/09 12:59:33
D,LB44,True,3694.5,0,0,0,0,0,0,0,021638,1632.7585,S,07136.5811,W,2818.4,M,000.0,2020/12/09 12:59:34
D,LB44,True,3694.5,0,0,0,0,0,0,0,021639,1632.7585,S,07136.5811,W,2818.4,M,000.0,2020/12/09 12:59:35
D,LB44,True,3694.5,0,0,0,0,0,0,0,021640,1632.7585,S,07136.5811,W,2818.4,M,000.0,2020/12/09 12:59:36
D,LB44,True,3694.5,0,0,0,0,0,0,0,021641,1632.7585,S,07136.5811,W,2818.4,M,000.0,2020/12/09 12:59:37
