C,ID,THD_PhaseACurrent,THD_PhaseAtoBVoltage,THD_PhaseBCurrent,THD_PhaseBtoC,THD_PhaseCCurrent,THD_PhaseCtoAVoltage,THD_PhaseACurrent%,THD_PhaseAtoBVoltage%,THD_PhaseBCurrent%,THD_PhaseBtoC%,THD_PhaseCCurrent%,THD_PhaseCtoAVoltage%,IA,IB,IC,VAB,VBC,VCA,Real_Power,Reactive_Power,Apparent_Power,PFd,PFa,Frequency,Real_Forward_Energy,Real_Reverse_Energy,Real_Net_Energy,Real_Total_Energy,Apparent_Energy,Reactive_Delivered_Energy,Reactive_Received_Energy,Reactive_Net_Energy,Reactive_Total_Energy,Fecha_Hora_Sistema\r\n

D,P06,0.8559,48.4494,0.9905,50.8578,0.9047,51.039,0.67,0.64,0.73,0.68,0.69,0.68,14.1704,13.6872,14.0621,7529.5791,7453.6611,7510.0781,102802.1094,262033.125,228442.7188,0.7918,0.7876,60.019,1530959,242865,1288093,1773825,2122862,594044,312816,4294686069,906861,2021/09/07 16:59:01
D,P06,0.8454,50.0321,0.9779,54.3457,0.8915,56.4176,0.66,0.7,0.73,0.77,0.69,0.61,14.065,13.5348,13.8462,7501.332,7433.8149,7487.811,103024.4453,197740.1875,229183.4063,0.7905,0.7878,60.0138,1530959,242865,1288093,1773825,2122862,594044,312816,4294686069,906861,2021/09/07 16:59:02
D,P06,0.8547,50.3092,0.7505,61.2104,0.9401,61.4387,0.66,0.71,0.74,0.63,0.71,0.62,13.9554,13.5227,13.881,7494.6963,7438.6401,7481.3496,102976.8906,257963.875,227807.9375,0.7986,0.7955,60.019,1530959,242865,1288093,1773825,2122862,594044,312816,4294686069,906861,2021/09/07 16:59:03
D,P06,0.8546,61.3655,0.7516,49.3542,0.9041,50.2158,0.66,0.62,0.74,0.66,0.69,0.67,14.0382,13.6486,13.9838,7524.313,7447.7476,7501.8706,103203.5469,260931.75,228674.5,0.7991,0.795,60.0019,1530959,242865,1288093,1773825,2122862,594044,312816,4294686069,906861,2021/09/07 16:59:04
D,P06,0.8922,55.8209,0.7643,61.3242,0.9015,59.9131,0.68,0.78,0.75,0.63,0.69,0.61,14.1075,13.5919,13.9859,7514.0488,7445.7358,7494.396,103281.5703,198142.625,229642.9375,0.7933,0.7906,60.0026,1530959,242865,1288093,1773825,2122862,594044,312816,4294686069,906861,2021/09/07 16:59:06
D,P06,0.905,52.9477,0.7635,63.3025,0.9201,59.244,0.69,0.74,0.75,0.64,0.7,0.61,14.1228,13.6291,13.9036,7498.6787,7433.0718,7485.0234,103065.9922,258767.75,228071.6875,0.7999,0.7958,59.9989,1530959,242865,1288093,1773825,2122862,594044,312816,4294686069,906861,2021/09/07 16:59:07
D,P06,0.9147,59.2538,0.7639,49.8637,0.8914,48.874,0.67,0.67,0.73,0.7,0.68,0.65,13.9458,13.6383,13.9373,7516.3364,7447.6904,7488.8965,102924.1406,258853.875,227929.125,0.7953,0.7936,60.0108,1530959,242865,1288093,1773825,2122862,594044,312816,4294686069,906861,2021/09/07 16:59:08
D,P06,0.8434,58.7112,0.9809,50.8699,0.9134,50.7745,0.66,0.6,0.73,0.68,0.69,0.68,14.0887,13.6586,13.9591,7520.2197,7442.3833,7496.8037,103098.0078,262017.75,228775.875,0.7945,0.792,60.0123,1530959,242865,1288093,1773825,2122862,594044,312816,4294686069,906861,2021/09/07 16:59:09
D,P06,0.8396,57.8998,0.992,48.7134,0.8869,48.9411,0.66,0.6,0.73,0.65,0.68,0.65,14.0705,13.5569,13.9144,7507.6953,7443.4355,7514.8579,103256.0391,197928.375,229526.5313,0.7938,0.7847,60.0034,1530959,242865,1288093,1773825,2122862,594044,312816,4294686069,906861,2021/09/07 16:59:11
D,P06,0.8455,54.9279,0.9906,58.5487,0.8743,60.6122,0.66,0.77,0.73,0.61,0.67,0.62,14.1164,13.5882,13.9545,7511.9883,7443.0747,7499.606,103424.9922,199583.0625,230399.125,0.7927,0.789,60.0041,1530959,242865,1288093,1773825,2122862,594044,312816,4294686069,906861,2021/09/07 16:59:12
D,P06,0.8319,58.9521,0.7521,51.5022,0.9138,51.4927,0.65,0.6,0.74,0.69,0.69,0.65,14.0297,13.612,13.9864,7529.3418,7457.3633,7504.814,102753.4219,198327.875,229115.4375,0.7859,0.7822,60.0145,1530959,242865,1288093,1773825,2122862,594044,312816,4294686069,906861,2021/09/07 16:59:13
D,P06,0.9075,61.5325,0.7652,49.2951,0.9246,48.7168,0.68,0.73,0.75,0.65,0.7,0.62,14.0901,13.645,14.0531,7542.7627,7463.9976,7524.0171,102552.9844,199512.8125,229373.9688,0.7789,0.7761,60.0197,1530959,242865,1288093,1773825,2122862,594044,312816,4294686069,906861,2021/09/07 16:59:14
D,P06,0.8982,54.7354,0.7606,59.2055,0.9472,62.8392,0.69,0.76,0.75,0.61,0.71,0.63,14.0947,13.5902,13.9326,7519.1162,7453.2813,7500.875,103284.1484,199409.875,230168.3125,0.7919,0.7873,60.0257,1530959,242865,1288093,1773825,2122862,594044,312816,4294686069,906861,2021/09/07 16:59:15
D,P06,0.8925,63.7279,0.7639,61.0656,0.9524,52.6188,0.68,0.64,0.75,0.62,0.71,0.7,14.1032,13.6687,14.0085,7524.6978,7450.6357,7506.4863,103145.7031,197838.75,229363.4375,0.7928,0.7894,60.0443,1530959,242865,1288093,1773825,2122862,594044,312816,4294686069,906861,2021/09/07 16:59:17
D,P06,0.9111,58.222,0.7679,49.0611,0.9319,49.1905,0.69,0.6,0.75,0.66,0.7,0.66,14.1286,13.6125,14.06,7527.8857,7459.0254,7512.0088,103259.6875,199732.9375,230275.0938,0.7918,0.7861,60.0428,1530959,242865,1288093,1773825,2122862,594044,312816,4294686069,906861,2021/09/07 16:59:18
D,P06,0.9189,57.4537,0.7794,48.1405,0.9777,58.9776,0.7,0.6,0.77,0.65,0.7,0.64,14.1209,13.6758,14.0308,7527.437,7460.458,7511.7573,103430.3828,199047.4375,230188.125,0.7954,0.7904,60.0249,1530959,242865,1288093,1773825,2122862,594044,312816,4294686069,906861,2021/09/07 16:59:19
D,P06,0.9116,58.3069,0.7683,52.7924,0.9009,54.8121,0.67,0.73,0.74,0.75,0.69,0.77,14.14,13.6034,13.9449,7517.48,7451.5864,7504.2783,103272.8047,200314.875,230526.0,0.7879,0.7848,60.0294,1530959,242865,1288093,1773825,2122862,594044,312816,4294686069,906861,2021/09/07 16:59:20
D,P06,0.8459,54.8548,0.99,59.7726,0.8841,59.9348,0.66,0.76,0.73,0.62,0.68,0.61,14.0441,13.6033,13.9436,7523.5088,7460.1919,7502.8154,103072.75,198564.25,229581.0,0.7904,0.7864,60.0272,1530959,242865,1288093,1773825,2122862,594044,312816,4294686069,906861,2021/09/07 16:59:22
D,P06,0.8509,51.0163,0.9847,58.8035,0.9008,60.3497,0.66,0.71,0.73,0.61,0.69,0.61,14.2204,13.6747,14.1069,7507.2334,7445.7417,7489.4302,103162.0938,199332.875,230000.5,0.7891,0.7909,60.019,1530959,242865,1288093,1773825,2122862,594044,312816,4294686069,906861,2021/09/07 16:59:23
D,P06,0.9144,60.3652,0.7677,48.887,0.9343,51.0272,0.69,0.61,0.75,0.66,0.7,0.68,14.0285,13.5981,13.9039,7529.4219,7454.6016,7513.1074,102944.3281,200053.1875,230044.1875,0.783,0.7806,60.0026,1530959,242865,1288093,1773825,2122862,594044,312816,4294686069,906861,2021/09/07 16:59:24
D,P06,0.871,60.8533,0.75,52.6877,0.9165,56.8569,0.67,0.65,0.74,0.75,0.7,0.67,14.1185,13.5467,13.9761,7500.0322,7443.9512,7495.8584,103366.2344,202468.875,231518.5625,0.7823,0.7806,59.9982,1530960,242865,1288094,1773826,2122863,594044,312818,4294686070,906862,2021/09/07 16:59:25
D,P06,0.8709,54.4181,0.7505,57.9632,0.9001,61.9567,0.67,0.76,0.74,0.6,0.69,0.63,13.9895,13.542,13.881,7518.6992,7444.0122,7492.23,103128.0781,199845.75,230170.8125,0.7855,0.7839,59.9967,1530960,242865,1288094,1773826,2122863,594044,312818,4294686070,906862,2021/09/07 16:59:26
D,P06,0.8729,49.6571,0.9895,57.0488,0.9155,58.6643,0.67,0.7,0.73,0.6,0.69,0.6,14.1523,13.6298,14.0656,7522.1914,7451.3848,7513.4468,103072.5469,200246.9375,230266.5,0.7843,0.782,60.0012,1530960,242865,1288094,1773826,2122863,594044,312818,4294686070,906862,2021/09/07 16:59:28
D,P06,0.8592,53.874,0.7507,59.529,0.9102,55.4882,0.67,0.75,0.74,0.61,0.69,0.77,14.0914,13.6371,13.95,7529.4966,7457.1836,7509.9639,103231.5859,200483.0,230239.2188,0.7833,0.7798,59.99,1530960,242865,1288094,1773826,2122863,594044,312818,4294686070,906862,2021/09/07 16:59:29
D,P06,0.8723,49.8588,0.9938,60.8678,0.9067,48.0443,0.67,0.7,0.73,0.62,0.69,0.74,14.1367,13.6009,13.9355,7515.0522,7451.2817,7500.0869,103155.8516,201095.5,230711.8125,0.7829,0.781,59.9841,1530960,242865,1288094,1773826,2122863,594044,312818,4294686070,906862,2021/09/07 16:59:30
D,P06,0.9216,50.317,0.7755,53.4765,0.9554,55.6052,0.7,0.67,0.74,0.62,0.7,0.61,14.0834,13.5832,13.9702,7524.9907,7453.873,7504.5508,102466.4453,200706.875,229766.4375,0.7758,0.7717,59.9781,1530960,242865,1288094,1773826,2122863,594044,312818,4294686070,906862,2021/09/07 16:59:31
D,P06,0.871,52.2023,0.7684,63.5343,0.9258,59.9381,0.69,0.78,0.75,0.64,0.7,0.61,14.1846,13.6435,14.0116,7512.6099,7448.7827,7503.7559,103041.9219,199888.75,230085.9375,0.7854,0.7825,59.9796,1530960,242865,1288094,1773826,2122863,594044,312818,4294686070,906862,2021/09/07 16:59:32
D,P06,0.8512,55.825,0.7501,57.9288,0.9023,48.6336,0.66,0.78,0.74,0.6,0.69,0.65,14.0659,13.5624,13.891,7518.9263,7446.8291,7495.4126,102610.4844,200674.9375,229920.3125,0.7781,0.774,59.9714,1530960,242865,1288094,1773826,2122863,594044,312818,4294686070,906862,2021/09/07 16:59:34
D,P06,0.8552,55.958,0.9662,58.595,0.8846,50.6024,0.67,0.62,0.72,0.65,0.68,0.71,14.1456,13.6147,14.0612,7517.7803,7456.5474,7506.0239,102587.4844,200896.0,229983.625,0.7777,0.7731,59.9588,1530960,242865,1288094,1773826,2122863,594044,312818,4294686070,906862,2021/09/07 16:59:35
D,P06,0.8914,57.179,0.7639,49.7443,0.8694,48.5704,0.65,0.78,0.73,0.71,0.67,0.68,14.074,13.6752,13.9884,7528.3823,7463.5889,7510.9849,102664.875,201270.9375,230225.4375,0.7774,0.7732,59.9528,1530960,242865,1288094,1773826,2122863,594044,312818,4294686070,906862,2021/09/07 16:59:36
D,P06,0.8879,58.4276,0.7529,48.6348,0.8979,48.486,0.68,0.63,0.74,0.69,0.69,0.68,14.1474,13.573,13.9275,7517.7163,7449.7764,7501.3569,102418.0781,200783.125,229746.0938,0.7769,0.7732,59.9588,1530960,242865,1288094,1773826,2122863,594044,312818,4294686070,906862,2021/09/07 16:59:38
D,P06,0.8712,48.3165,0.9972,52.401,0.9217,53.5107,0.67,0.68,0.73,0.74,0.7,0.75,14.0712,13.6907,14.0157,7541.8291,7462.3833,7526.7158,102704.5625,200464.125,229939.8125,0.7802,0.7759,59.9573,1530960,242865,1288094,1773826,2122863,594044,312818,4294686070,906862,2021/09/07 16:59:39
D,P06,0.8659,61.5932,0.7531,50.5961,0.9256,50.9253,0.67,0.62,0.74,0.75,0.69,0.77,14.11,13.5151,13.9612,7510.5576,7448.8008,7489.4902,102926.9297,200478.9375,230199.5938,0.7813,0.7792,59.9707,1530960,242865,1288094,1773826,2122863,594044,312818,4294686070,906862,2021/09/07 16:59:40
D,P06,0.8892,59.2924,0.7566,63.3021,0.9539,51.8051,0.68,0.61,0.74,0.64,0.71,0.69,14.042,13.5985,13.9105,7530.8838,7455.2036,7517.2744,103204.7109,200854.0625,230671.2813,0.7836,0.7824,59.9789,1530960,242865,1288094,1773826,2122863,594044,312818,4294686070,906862,2021/09/07 16:59:41
D,P06,0.8817,57.9269,0.7554,59.6479,0.896,62.5862,0.68,0.6,0.74,0.62,0.69,0.63,14.151,13.6382,14.0321,7530.646,7446.1069,7513.0146,103481.0234,200374.8125,227744.0625,0.7916,0.7891,59.9885,1530960,242865,1288094,1773826,2122863,594044,312818,4294686070,906862,2021/09/07 16:59:43
D,P06,0.8669,54.2787,0.7516,57.2527,0.8735,57.5485,0.67,0.76,0.74,0.6,0.67,0.67,14.0961,13.6117,13.9554,7503.5957,7438.3193,7493.2593,102916.1563,259534.0,228060.0625,0.796,0.7926,59.9848,1530960,242865,1288094,1773826,2122863,594044,312818,4294686070,906862,2021/09/07 16:59:44
D,P06,0.8927,56.0853,0.7618,48.2064,0.9364,61.5445,0.68,0.59,0.75,0.65,0.71,0.62,14.1655,13.5977,14.0337,7501.0591,7434.8687,7483.8721,103042.6484,261406.5,228588.6875,0.7955,0.792,59.9967,1530960,242865,1288094,1773826,2122863,594044,312818,4294686070,906862,2021/09/07 16:59:45
D,P06,0.8699,56.8579,0.9968,48.5148,0.8991,50.3822,0.67,0.59,0.73,0.65,0.69,0.67,14.0762,13.5497,13.9293,7520.0649,7448.7773,7504.2744,102722.5859,197403.0625,228700.5938,0.7886,0.7842,59.9789,1530960,242865,1288094,1773826,2122863,594044,312818,4294686070,906862,2021/09/07 16:59:47
D,P06,0.8839,61.002,0.7561,52.923,0.9164,54.0547,0.68,0.62,0.74,0.72,0.69,0.71,13.9613,13.4481,13.8872,7492.1899,7420.1953,7472.9287,102281.1953,256358.625,226680.75,0.7904,0.7872,59.9707,1530960,242865,1288094,1773826,2122863,594044,312818,4294686070,906862,2021/09/07 16:59:48
D,P06,0.8461,59.0072,0.9794,63.8132,0.8867,48.289,0.66,0.61,0.73,0.64,0.68,0.64,13.996,13.5496,13.821,7505.8428,7438.666,7487.4692,102355.3047,259692.5,227449.6563,0.7884,0.7839,59.9603,1530960,242865,1288094,1773826,2122863,594044,312818,4294686070,906862,2021/09/07 16:59:49
D,P06,0.8758,59.6909,0.9927,50.8335,0.9359,50.5532,0.68,0.61,0.73,0.68,0.7,0.67,14.0918,13.5521,13.9058,7512.6738,7442.457,7492.4116,102590.1484,198459.875,228985.7188,0.7837,0.7794,59.9595,1530960,242865,1288094,1773826,2122863,594044,312818,4294686070,906862,2021/09/07 16:59:51
