C,ID,Nivel_Agua%,Nivel_Combustible%,Horometro,Tag5,Tag6,Tag7,Tag8,tag9,Tag10,Fecha_Hora_Sistema\r\n

D,PER21,88.67,75.49,0,0,0,0,0,0,0,2021/09/08 03:32:02
D,PER21,88.85,75.5,0,0,0,0,0,0,0,2021/09/08 03:32:03
D,PER21,89.04,75.49,0,0,0,0,0,0,0,2021/09/08 03:32:04
D,PER21,89.21,75.47,0,0,0,0,0,0,0,2021/09/08 03:32:05
D,PER21,89.39,75.46,0,0,0,0,0,0,0,2021/09/08 03:32:06
D,PER21,89.57,75.46,0,0,0,0,0,0,0,2021/09/08 03:32:08
D,PER21,89.74,75.47,0,0,0,0,0,0,0,2021/09/08 03:32:09
D,PER21,89.9,75.45,0,0,0,0,0,0,0,2021/09/08 03:32:10
D,PER21,90.07,75.42,0,0,0,0,0,0,0,2021/09/08 03:32:11
D,PER21,90.24,75.4,0,0,0,0,0,0,0,2021/09/08 03:32:12
D,PER21,90.4,75.42,0,0,0,0,0,0,0,2021/09/08 03:32:13
D,PER21,90.56,75.43,0,0,0,0,0,0,0,2021/09/08 03:32:14
D,PER21,90.71,75.42,0,0,0,0,0,0,0,2021/09/08 03:32:15
D,PER21,90.85,75.4,0,0,0,0,0,0,0,2021/09/08 03:32:16
D,PER21,90.99,75.4,0,0,0,0,0,0,0,2021/09/08 03:32:17
D,PER21,91.13,75.4,0,0,0,0,0,0,0,2021/09/08 03:32:18
D,PER21,91.27,75.39,0,0,0,0,0,0,0,2021/09/08 03:32:19
D,PER21,91.41,75.37,0,0,0,0,0,0,0,2021/09/08 03:32:21
D,PER21,91.55,75.36,0,0,0,0,0,0,0,2021/09/08 03:32:22
D,PER21,91.69,75.36,0,0,0,0,0,0,0,2021/09/08 03:32:23
D,PER21,91.83,75.35,0,0,0,0,0,0,0,2021/09/08 03:32:24
D,PER21,91.97,75.32,0,0,0,0,0,0,0,2021/09/08 03:32:25
D,PER21,92.1,75.32,0,0,0,0,0,0,0,2021/09/08 03:32:26
D,PER21,92.24,75.33,0,0,0,0,0,0,0,2021/09/08 03:32:27
D,PER21,92.38,75.33,0,0,0,0,0,0,0,2021/09/08 03:32:28
D,PER21,92.51,75.31,0,0,0,0,0,0,0,2021/09/08 03:32:29
D,PER21,92.65,75.3,0,0,0,0,0,0,0,2021/09/08 03:32:30
D,PER21,92.78,75.29,0,0,0,0,0,0,0,2021/09/08 03:32:31
D,PER21,92.9,75.3,0,0,0,0,0,0,0,2021/09/08 03:32:32
D,PER21,93.03,75.3,0,0,0,0,0,0,0,2021/09/08 03:32:33
D,PER21,93.15,75.28,0,0,0,0,0,0,0,2021/09/08 03:32:35
D,PER21,93.27,75.26,0,0,0,0,0,0,0,2021/09/08 03:32:36
D,PER21,93.38,75.27,0,0,0,0,0,0,0,2021/09/08 03:32:37
D,PER21,93.5,75.26,0,0,0,0,0,0,0,2021/09/08 03:32:38
D,PER21,93.61,75.25,0,0,0,0,0,0,0,2021/09/08 03:32:39
D,PER21,93.72,75.24,0,0,0,0,0,0,0,2021/09/08 03:32:40
D,PER21,93.83,75.23,0,0,0,0,0,0,0,2021/09/08 03:32:41
D,PER21,93.92,75.23,0,0,0,0,0,0,0,2021/09/08 03:32:42
D,PER21,94.02,75.22,0,0,0,0,0,0,0,2021/09/08 03:32:43
D,PER21,94.11,75.2,0,0,0,0,0,0,0,2021/09/08 03:32:44
D,PER21,94.21,75.2,0,0,0,0,0,0,0,2021/09/08 03:32:45
D,PER21,94.29,75.21,0,0,0,0,0,0,0,2021/09/08 03:32:46
D,PER21,94.37,75.2,0,0,0,0,0,0,0,2021/09/08 03:32:47
D,PER21,94.45,75.18,0,0,0,0,0,0,0,2021/09/08 03:32:49
D,PER21,94.52,75.17,0,0,0,0,0,0,0,2021/09/08 03:32:50
D,PER21,94.59,75.17,0,0,0,0,0,0,0,2021/09/08 03:32:51
D,PER21,94.65,75.17,0,0,0,0,0,0,0,2021/09/08 03:32:52
D,PER21,94.71,75.16,0,0,0,0,0,0,0,2021/09/08 03:32:53
D,PER21,94.76,75.14,0,0,0,0,0,0,0,2021/09/08 03:32:54
D,PER21,94.81,75.15,0,0,0,0,0,0,0,2021/09/08 03:32:55
D,PER21,94.86,75.15,0,0,0,0,0,0,0,2021/09/08 03:32:56
D,PER21,94.9,75.14,0,0,0,0,0,0,0,2021/09/08 03:32:57
D,PER21,94.95,75.14,0,0,0,0,0,0,0,2021/09/08 03:32:58
D,PER21,94.99,75.14,0,0,0,0,0,0,0,2021/09/08 03:32:59
D,PER21,95.03,75.14,0,0,0,0,0,0,0,2021/09/08 03:33:00
D,PER21,95.06,75.13,0,0,0,0,0,0,0,2021/09/08 03:33:01
