C,ID,ENCENDIDO,HOROMETRO,DIST,HORASXTURNO,RALENTIXTURNO,OPERATIVOXTURNO,T9,T10,T11,T12,T13,T14,T15,T16,T17,T18,T19,T20,T21,GPS_TIEMPO,LATITUD,HEMISFERIO,LONGITUD,MERIDIANO,ALTITUD,ALT_MEDIDA,VELOCIDAD,FECHA_HORA_SIS\r\n
D,TRAC57,True,10000.5,000000000.589,1952.0,816.0,1136.0,0,0,0,0,0,0,0,0,0,0,0,0,0,150208,1631.0920,S,07135.5892,W,2761.6,M,000.0,02/06/21 09:59:02
D,TRAC57,True,10000.5,000000000.589,1953.0,817.0,1136.0,0,0,0,0,0,0,0,0,0,0,0,0,0,150209,1631.0920,S,07135.5892,W,2761.6,M,000.0,02/06/21 09:59:03
D,TRAC57,True,10000.5,000000000.589,1954.0,818.0,1136.0,0,0,0,0,0,0,0,0,0,0,0,0,0,150210,1631.0920,S,07135.5892,W,2761.6,M,000.0,02/06/21 09:59:04
D,TRAC57,True,10000.5,000000000.589,1955.0,819.0,1136.0,0,0,0,0,0,0,0,0,0,0,0,0,0,150211,1631.0920,S,07135.5892,W,2761.6,M,000.0,02/06/21 09:59:05
D,TRAC57,True,10000.5,000000000.589,1956.0,820.0,1136.0,0,0,0,0,0,0,0,0,0,0,0,0,0,150212,1631.0920,S,07135.5892,W,2761.6,M,000.0,02/06/21 09:59:07
D,TRAC57,True,10000.5,000000000.589,1958.0,822.0,1136.0,0,0,0,0,0,0,0,0,0,0,0,0,0,150214,1631.0920,S,07135.5892,W,2761.7,M,000.0,02/06/21 09:59:08
D,TRAC57,True,10000.5,000000000.589,1959.0,823.0,1136.0,0,0,0,0,0,0,0,0,0,0,0,0,0,150215,1631.0920,S,07135.5892,W,2761.7,M,000.0,02/06/21 09:59:09
D,TRAC57,True,10000.5,000000000.589,1960.0,824.0,1136.0,0,0,0,0,0,0,0,0,0,0,0,0,0,150216,1631.0920,S,07135.5892,W,2761.6,M,000.0,02/06/21 09:59:10
D,TRAC57,True,10000.5,000000000.589,1961.0,825.0,1136.0,0,0,0,0,0,0,0,0,0,0,0,0,0,150217,1631.0920,S,07135.5892,W,2761.6,M,000.0,02/06/21 09:59:11
D,TRAC57,True,10000.5,000000000.589,1962.0,826.0,1136.0,0,0,0,0,0,0,0,0,0,0,0,0,0,150218,1631.0920,S,07135.5892,W,2761.6,M,000.0,02/06/21 09:59:12
